Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,8/20/2020 4:30,32.3182,-86.9023,111478,1944,41523,68011,1,2273.583395,885346,13080,1.743841834,84000001,USA,18056.54896,11.73325679
Alaska,US,8/20/2020 4:30,61.3707,-152.4044,4438,29,1501,2908,2,606.6612444,310849,,0.653447499,84000002,USA,42492.12284,
American Samoa,US,8/20/2020 4:30,-14.271,-170.132,0,0,,0,60,0,1514,,,16,ASM,2721.015079,
Arizona,US,8/20/2020 4:30,33.7298,-111.4312,195557,4634,28233,162690,4,2686.696021,1111239,21020,2.369641588,84000004,USA,15266.96257,10.74878424
Arkansas,US,8/20/2020 4:30,34.9697,-92.3731,54216,631,47666,5919,5,1796.538145,641280,3743,1.163863066,84000005,USA,21249.88899,6.903866017
California,US,8/20/2020 4:30,36.1162,-119.6816,647274,11690,,635584,6,1638.161437,10140683,,1.806035775,84000006,USA,25664.67344,
Colorado,US,8/20/2020 4:30,39.0598,-105.3111,53882,1900,5729,46253,8,935.6567136,887859,6781,3.526223971,84000008,USA,15417.60206,12.58490776
Connecticut,US,8/20/2020 4:30,41.5978,-72.7554,51314,4457,8809,38048,9,1439.267021,1002420,11015,8.685738785,84000009,USA,28116.10959,21.46587676
Delaware,US,8/20/2020 4:30,39.3185,-75.5071,16643,595,8780,7268,10,1709.141024,214869,,3.575076609,84000010,USA,22065.81882,
Diamond Princess,US,8/20/2020 4:30,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,8/20/2020 4:30,38.8974,-77.0268,13354,600,10596,2158,11,1892.17413,251659,,4.493035795,84000011,USA,35658.42814,
Florida,US,8/20/2020 4:30,27.7663,-81.6868,584047,9932,,574115,12,2719.313492,4306239,35620,1.700548072,84000012,USA,20049.77992,6.098824238
Georgia,US,8/20/2020 4:30,33.0406,-83.6431,243982,4849,,239133,13,2297.939905,2075697,22664,1.987441697,84000013,USA,19549.91338,9.28920986
Grand Princess,US,8/20/2020 4:30,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,8/20/2020 4:30,13.4443,144.7937,599,5,363,231,66,364.7346084,29750,,0.834724541,316,GUM,18114.94925,
Hawaii,US,8/20/2020 4:30,21.0943,-157.4983,5609,42,1977,3590,15,396.1516295,166113,303,0.748796577,84000015,USA,11732.20461,5.402032448
Idaho,US,8/20/2020 4:30,44.2405,-114.4788,28680,289,11397,16994,16,1604.866079,229123,1170,1.007670851,84000016,USA,12821.19005,4.079497908
Illinois,US,8/20/2020 4:30,40.3495,-88.9861,213220,8017,,205203,17,1682.631091,3490903,,3.759966232,84000017,USA,27548.55044,
Indiana,US,8/20/2020 4:30,39.8494,-86.2583,82336,3180,62483,16673,18,1223.014284,934033,10090,3.862223086,84000018,USA,13874.07332,12.25466382
Iowa,US,8/20/2020 4:30,42.0115,-93.2105,53523,1010,41837,10676,19,1696.412441,562322,,1.887039217,84000019,USA,17822.80583,
Kansas,US,8/20/2020 4:30,38.5266,-96.7265,35419,415,1472,33532,20,1215.763217,359840,2090,1.171687512,84000020,USA,12351.56938,5.900787713
Kentucky,US,8/20/2020 4:30,37.6681,-84.6701,40926,842,9331,30753,21,916.0473472,730820,4301,2.057371842,84000021,USA,16357.95637,10.50921175
Louisiana,US,8/20/2020 4:30,31.1695,-91.8678,139903,4609,118120,17174,22,3009.447181,1704974,,3.294425423,84000022,USA,36675.61953,
Maine,US,8/20/2020 4:30,44.6939,-69.3819,4235,127,3662,446,23,315.0544706,217242,403,2.998819362,84000023,USA,16161.29003,9.515938607
Maryland,US,8/20/2020 4:30,39.0639,-76.8021,101649,3661,6030,91958,24,1681.349327,1175768,13744,3.60160946,84000024,USA,19448.0687,13.52103808
Massachusetts,US,8/20/2020 4:30,42.2302,-71.5301,124415,8876,102205,13334,25,1805.077198,1496640,12213,7.134188,84000025,USA,21714.02755,9.816340473
Michigan,US,8/20/2020 4:30,43.3266,-84.5361,104091,6618,67778,29695,26,1042.279868,2395188,,6.357898377,84000026,USA,23983.40138,
Minnesota,US,8/20/2020 4:30,45.6945,-93.9002,66618,1784,60242,4592,27,1181.247287,1020926,5988,2.677954907,84000027,USA,18102.70599,8.98856165
Mississippi,US,8/20/2020 4:30,32.7416,-89.6787,74555,2163,56577,15815,28,2505.082911,526732,5063,2.901213869,84000028,USA,17698.44185,6.790959694
Missouri,US,8/20/2020 4:30,38.4561,-92.2884,71285,1434,,69851,29,1161.480021,874795,,2.011643403,84000029,USA,14253.44623,
Montana,US,8/20/2020 4:30,46.9219,-110.4544,5956,84,4357,1515,30,557.2719498,206533,348,1.410342512,84000030,USA,19324.21887,5.842847549
Nebraska,US,8/20/2020 4:30,41.1254,-98.2681,31040,371,22798,7871,31,1604.625291,328378,1835,1.195231959,84000031,USA,16975.63286,5.911726804
Nevada,US,8/20/2020 4:30,38.3135,-117.0554,63028,1134,1540,60354,32,2046.259995,556526,,1.799200355,84000032,USA,18068.11084,
