state,date,deaths,daily_change
Alabama,2020-01-22,0,0
Alabama,2020-01-23,0,0
Alabama,2020-01-24,0,0
Alabama,2020-01-25,0,0
Alabama,2020-01-26,0,0
Alabama,2020-01-27,0,0
Alabama,2020-01-28,0,0
Alabama,2020-01-29,0,0
Alabama,2020-01-30,0,0
Alabama,2020-01-31,0,0
Alabama,2020-02-01,0,0
Alabama,2020-02-02,0,0
Alabama,2020-02-03,0,0
Alabama,2020-02-04,0,0
Alabama,2020-02-05,0,0
Alabama,2020-02-06,0,0
Alabama,2020-02-07,0,0
Alabama,2020-02-08,0,0
Alabama,2020-02-09,0,0
Alabama,2020-02-10,0,0
Alabama,2020-02-11,0,0
Alabama,2020-02-12,0,0
Alabama,2020-02-13,0,0
Alabama,2020-02-14,0,0
Alabama,2020-02-15,0,0
Alabama,2020-02-16,0,0
Alabama,2020-02-17,0,0
Alabama,2020-02-18,0,0
Alabama,2020-02-19,0,0
Alabama,2020-02-20,0,0
Alabama,2020-02-21,0,0
Alabama,2020-02-22,0,0
Alabama,2020-02-23,0,0
Alabama,2020-02-24,0,0
Alabama,2020-02-25,0,0
Alabama,2020-02-26,0,0
Alabama,2020-02-27,0,0
Alabama,2020-02-28,0,0
Alabama,2020-02-29,0,0
Alabama,2020-03-01,0,0
Alabama,2020-03-02,0,0
Alabama,2020-03-03,0,0
Alabama,2020-03-04,0,0
Alabama,2020-03-05,0,0
Alabama,2020-03-06,0,0
Alabama,2020-03-07,0,0
Alabama,2020-03-08,0,0
Alabama,2020-03-09,0,0
Alabama,2020-03-10,0,0
Alabama,2020-03-11,0,0
Alabama,2020-03-12,0,0
Alabama,2020-03-13,0,0
Alabama,2020-03-14,0,0
Alabama,2020-03-15,0,0
Alabama,2020-03-16,0,0
Alabama,2020-03-17,0,0
Alabama,2020-03-18,0,0
Alabama,2020-03-19,0,0
Alabama,2020-03-20,0,0
Alabama,2020-03-21,0,0
Alabama,2020-03-22,0,0
Alabama,2020-03-23,0,0
Alabama,2020-03-24,0,0
Alabama,2020-03-25,1,1
Alabama,2020-03-26,1,0
Alabama,2020-03-27,4,3
Alabama,2020-03-28,4,0
Alabama,2020-03-29,10,6
Alabama,2020-03-30,10,0
Alabama,2020-03-31,23,13
Alabama,2020-04-01,27,4
Alabama,2020-04-02,32,5
Alabama,2020-04-03,38,6
Alabama,2020-04-04,44,6
Alabama,2020-04-05,45,1
Alabama,2020-04-06,49,4
Alabama,2020-04-07,64,15
Alabama,2020-04-08,66,2
Alabama,2020-04-09,70,4
Alabama,2020-04-10,80,10
Alabama,2020-04-11,92,12
Alabama,2020-04-12,93,1
Alabama,2020-04-13,99,6
Alabama,2020-04-14,114,15
Alabama,2020-04-15,118,4
Alabama,2020-04-16,133,15
Alabama,2020-04-17,148,15
Alabama,2020-04-18,153,5
Alabama,2020-04-19,157,4
Alabama,2020-04-20,163,6
Alabama,2020-04-21,183,20
Alabama,2020-04-22,196,13
Alabama,2020-04-23,202,6
Alabama,2020-04-24,209,7
Alabama,2020-04-25,209,0
Alabama,2020-04-26,219,10
Alabama,2020-04-27,228,9
Alabama,2020-04-28,242,14
Alabama,2020-04-29,256,14
Alabama,2020-04-30,272,16
Alabama,2020-05-01,289,17
Alabama,2020-05-02,288,-1
