id,dcbt,age,female,salary,exp,score,hq,claims
1,0,26.197723,1,.8679108,23.916782,1.0692333,1,518.6571
2,0,37.931667,0,.44144353,11.351185,5.1076651,0,319.95935
3,0,34.155548,1,8.7865314,22.001709,4.3140807,0,573.2879
4,1,48.662502,1,1.3637686,14.588522,8.2889433,0,620.3642
5,0,60.558987,0,3.8402765,11.291809,5.1853676,1,951.89246
6,0,67.244347,1,1.4166744,5.6699548,2.878818,1,1019.0386
7,0,20.679476,0,2.7901366,10.897881,1.2577734,0,7.0061402
8,0,38.000122,0,9.7492619,10.077973,5.159812,0,357.93607
9,0,27.264236,0,8.5500765,10.427299,7.5862193,0,183.58316
10,0,47.158192,0,5.7943983,4.1315103,8.037097,0,661.63068
11,0,36.543968,0,1.0417653,15.919436,6.726459,0,289.42365
12,0,38.655651,0,2.5197814,11.123444,1.1950361,0,309.58347
13,0,58.095657,0,6.5891566,6.0808249,9.068326,0,880.38068
14,0,62.359043,1,.94865632,6.9346738,4.5560479,0,1035.4241
15,0,33.8727,0,1.9949358,5.6849174,5.7707176,0,260.90759
16,1,38.619755,1,.25025403,11.578568,4.1824846,1,615.45508
17,0,24.33371,0,1.2662903,19.734755,7.4981503,0,177.27003
18,0,45.382244,1,4.4567432,.022939887,6.0850391,0,845.68219
19,0,25.038897,0,8.1205893,10.794903,9.6707163,0,37.61578
20,0,37.15432,0,2.6233091,10.652504,4.3350892,0,395.77701
21,0,48.09774,1,1.1293972,21.29834,3.1587121,0,814.71985
22,0,39.163689,0,2.8927236,9.9984398,2.4415829,0,366.39835
23,1,38.688335,1,2.6704454,21.936314,1.8294548,1,504.70367
24,0,31.427952,1,8.5570993,18.048475,6.2869024,1,804.01154
25,0,28.752796,0,11.626581,5.7642517,2.2112947,0,309.10971
26,0,42.505791,0,.24006756,9.5674753,2.0934153,0,454.82858
27,0,42.003414,0,6.6481862,9.2523975,6.5215025,0,579.43561
28,0,46.438141,0,1.1421342,3.4234912,6.3921351,0,809.31335
29,0,45.111656,0,.80021477,6.2706084,4.6107202,0,306.15714
30,0,28.806667,0,1.2937638,6.9976592,8.3985128,0,298.59283
31,1,31.757448,0,20.137833,15.517006,6.4201016,0,168.81268
32,0,53.014919,0,10.619325,5.3228807,9.0251217,0,695.25604
33,0,40.261677,1,.43589056,17.029387,7.1244106,0,650.63043
34,0,59.069294,1,2.8945203,7.2471957,5.7383957,0,1019.8542
35,0,18.919304,0,.21213056,11.300608,5.7583547,1,168.41121
36,0,35.033375,0,.32943222,3.2865095,-2.0808702,0,279.28024
37,0,35.324833,0,17.964315,22.598928,8.2716246,0,261.97217
38,0,37.12344,0,5.7807913,2.2398973,10.519135,0,337.80026
39,0,45.52573,1,4.9115138,23.548071,9.1165428,0,965.05133
40,0,33.96209,1,2.1430786,23.686834,1.7299182,0,554.18628
41,0,57.785606,1,20.142654,9.7415085,3.1615362,0,1119.9686
42,0,34.054398,1,5.8040028,6.1213818,8.1543751,0,590.84021
43,0,45.382282,1,5.7391577,16.529963,1.5284039,0,907.22919
44,0,38.786186,0,13.235559,7.2213254,6.4215484,1,585.69617
45,0,41.882637,1,4.9952455,12.743689,1.0487936,1,810.32996
46,0,34.591511,0,5.3367629,1.8637615,-2.4315357,1,299.31912
47,0,47.303993,1,.17966104,2.5108268,5.8851938,0,687.42108
48,0,30.214428,1,.87084675,17.801378,6.3690624,1,578.94501
49,0,43.488281,0,1.2418545,7.6793628,3.0197606,1,584.12299
50,0,35.846298,0,21.47382,20.548235,8.1960716,1,578.03589
51,1,41.752071,1,.95013684,11.221762,4.6516747,1,732.54999
52,0,57.853024,1,1.877171,11.320518,9.4016247,0,869.06805
53,0,34.189026,0,4.6843443,10.184875,6.5685272,0,319.30252
54,0,26.390604,0,6.8498607,23.251579,2.7365479,0,265.82657
55,0,44.045406,1,1.5192281,9.5028963,8.3807316,1,818.16089
56,0,59.700802,0,8.3833199,8.357851,6.9210277,1,687.81384
57,0,25.534941,1,1.0295571,15.247222,7.9639406,0,543.29865
58,0,26.494095,0,8.2370729,5.4635329,1.5012054,0,236.88669
59,0,30.113781,0,1.6147051,22.314777,10.416972,0,294.09909
60,0,52.803017,0,16.369457,21.937414,7.7157044,0,718.10046
61,0,57.150352,1,1.4566029,9.1884356,5.9683738,0,893.50964
62,0,28.689545,0,8.7868662,10.467194,10.910803,0,271.32535
63,0,27.397778,0,6.2652307,14.357559,6.8061347,0,152.81081
64,0,62.994831,0,.45887512,6.7949758,4.8167467,0,713.05072
65,0,34.50576,1,24.342793,4.0604033,2.3727081,0,796.3855
66,0,62.218414,1,1.46619,15.503325,3.8090851,0,963.45746
67,1,57.13834,0,10.842558,21.77243,3.0162377,0,506.72708
68,0,54.83868,0,2.0259285,.70587873,1.292966,0,635.88647
69,0,56.119946,0,3.5404234,22.707796,2.6768346,0,519.02802
70,0,23.593828,1,6.0891528,3.8499739,6.2147994,0,579.02533
71,0,37.928734,1,.58509785,6.3365822,2.2754726,0,729.98157
72,0,22.742556,1,8.6772671,8.9001532,10.928493,1,484.40961
73,0,37.248035,1,9.442378,11.68615,6.9994431,0,729.64526
74,0,58.146065,0,.46510997,16.112072,6.4397287,0,510.89453
75,0,20.750019,1,5.2238092,9.4447517,6.183445,0,448.03848
76,0,42.298439,1,5.2113414,1.1271188,9.2263041,0,734.20874
77,0,47.955608,0,2.2121496,2.6482258,6.1455903,1,577.84369
78,0,21.640606,1,2.9965107,14.959631,-2.8933523,0,366.95908
79,0,32.626476,1,4.9405398,7.6387815,7.8521962,0,757.88727
80,1,61.024773,1,3.2476361,15.767981,12.565066,0,918.72925
81,0,59.112637,0,1.841006,6.127265,.98302597,0,544.60358
82,0,48.251648,0,1.3928943,8.0854788,4.2050443,1,675.78796
83,0,48.951485,0,3.8748531,14.396087,-3.0372283,1,503.96332
84,0,37.945652,1,1.4058332,.80006665,-1.6731286,0,554.52161
85,0,61.113644,1,3.5722783,7.9957623,8.030117,0,1038.4771
