price,neighbourhood,latitude,longitude,room_type,availability_365
100,Algiers Point,29.94990385,-90.04932621,Private room,359
150,Algiers Point,29.95188031,-90.05267673,Entire home/apt,300
75,Algiers Point,29.95302153,-90.05030439,Private room,337
175,Algiers Point,29.95104891,-90.04603909,Entire home/apt,354
175,Algiers Point,29.94897094,-90.04878103,Entire home/apt,123
125,Algiers Point,29.9519913,-90.04683591,Entire home/apt,159
175,Algiers Point,29.9522949,-90.05126757,Entire home/apt,260
84,Algiers Point,29.95280408,-90.04930791,Entire home/apt,312
95,Algiers Point,29.95168125,-90.04850689,Entire home/apt,116
79,Algiers Point,29.95038759,-90.04915693,Entire home/apt,365
85,Algiers Point,29.95421801,-90.05175484,Private room,343
110,Algiers Point,29.95285201,-90.04834666,Entire home/apt,347
169,Algiers Point,29.95340883,-90.05175178,Entire home/apt,294
149,Algiers Point,29.95227847,-90.05094161,Entire home/apt,311
95,Algiers Point,29.95247742,-90.04779594,Private room,0
250,Algiers Point,29.94935989,-90.05410766,Entire home/apt,359
99,Algiers Point,29.95304842,-90.04917141,Private room,137
730,Algiers Point,29.9493761,-90.04864924,Entire home/apt,0
99,Algiers Point,29.95411638,-90.0474705,Private room,306
102,Algiers Point,29.95052103,-90.05246114,Entire home/apt,62
85,Algiers Point,29.95153993,-90.05190078,Entire home/apt,295
79,Algiers Point,29.95223678,-90.05264777,Private room,365
200,Algiers Point,29.95131293,-90.04776806,Private room,365
139,Algiers Point,29.95425477,-90.05109993,Entire home/apt,342
300,Algiers Point,29.94955894,-90.05140651,Entire home/apt,172
98,Algiers Point,29.95025571,-90.04999026,Private room,364
59,Algiers Point,29.94984306,-90.04683811,Private room,153
88,Algiers Point,29.94916713,-90.04780149,Private room,306
150,Algiers Point,29.95475168,-90.05198078,Private room,364
75,Algiers Point,29.94930841,-90.04767463,Entire home/apt,74
100,Algiers Point,29.94940358,-90.05141468,Entire home/apt,354
200,Algiers Point,29.95433638,-90.05290797,Entire home/apt,365
105,Algiers Point,29.95145829,-90.05013421,Entire home/apt,78
77,Algiers Point,29.94903211,-90.04646795,Private room,153
125,Algiers Point,29.95241142,-90.04881697,Shared room,363
300,Algiers Point,29.9506521,-90.05049627,Entire home/apt,0
110,Algiers Point,29.95030249,-90.05218731,Entire home/apt,318
150,Algiers Point,29.95263716,-90.04885204,Entire home/apt,365
80,Algiers Point,29.95530113,-90.0473511,Private room,332
250,Algiers Point,29.95202765,-90.05313863,Entire home/apt,321
99,Algiers Point,29.95099414,-90.04624033,Entire home/apt,321
99,Algiers Point,29.95187867,-90.05139855,Entire home/apt,365
169,Algiers Point,29.95115259,-90.05125663,Entire home/apt,311
80,Algiers Point,29.95480693,-90.05110579,Entire home/apt,207
78,Algiers Point,29.94983771,-90.05020668,Entire home/apt,274
120,Algiers Point,29.95057144,-90.05319742,Entire home/apt,346
95,Audubon,29.94438801,-90.11357659,Private room,348
125,Audubon,29.94994532,-90.11670172,Entire home/apt,0
229,Audubon,29.92377781,-90.12323975,Entire home/apt,365
100,Audubon,29.93407035,-90.12006219,Private room,365
180,Audubon,29.92349663,-90.12660256,Entire home/apt,176
900,Audubon,29.94199406,-90.12410488,Entire home/apt,365
75,Audubon,29.94287715,-90.11386698,Private room,0
60,Audubon,29.93814401,-90.1242748,Entire home/apt,0
850,Audubon,29.93845291,-90.12554387,Private room,364
149,Audubon,29.92169563,-90.12768285,Entire home/apt,344
150,Audubon,29.94996671,-90.11812035,Private room,365
130,Audubon,29.92212027,-90.11782672,Entire home/apt,330
210,Audubon,29.94406124,-90.11777044,Entire home/apt,363
250,Audubon,29.94861585,-90.1165977,Entire home/apt,0
100,Audubon,29.93638955,-90.11746205,Entire home/apt,212
195,Audubon,29.93091695,-90.11244751,Entire home/apt,300
125,Audubon,29.94958517,-90.11679836,Private room,365
199,Audubon,29.93891564,-90.11726995,Entire home/apt,0
160,Audubon,29.94254133,-90.1147287,Entire home/apt,0
200,Audubon,29.95019147,-90.11659554,Entire home/apt,365
225,Audubon,29.93749892,-90.11264755,Entire home/apt,153
190,Audubon,29.94020788,-90.12247677,Entire home/apt,63
100,Audubon,29.91933959,-90.12710967,Entire home/apt,69
450,Audubon,29.93701751,-90.11531551,Entire home/apt,0
75,Audubon,29.93965965,-90.1108403,Private room,365
1500,Audubon,29.92582537,-90.11519103,Entire home/apt,0
200,Audubon,29.94739345,-90.11991788,Entire home/apt,180
42,Audubon,29.94407445,-90.11473374,Private room,0
99,Audubon,29.94619456,-90.11925167,Entire home/apt,125
130,Audubon,29.93907471,-90.11674598,Entire home/apt,47
98,Audubon,29.94974743,-90.11702034,Entire home/apt,64
225,Audubon,29.92256964,-90.11949587,Entire home/apt,322
222,Audubon,29.93476159,-90.11344746,Entire home/apt,354
99,Audubon,29.94384421,-90.11599544,Entire home/apt,49
125,Audubon,29.92970386,-90.12989652,Private room,90
150,Audubon,29.94602299,-90.12090965,Entire home/apt,0
950,Audubon,29.92268471,-90.11619624,Entire home/apt,0
80,Audubon,29.93937128,-90.11225243,Private room,297
175,Audubon,29.93899349,-90.11901819,Entire home/apt,293
45,Audubon,29.94859951,-90.1193572,Private room,170
90,Audubon,29.92823792,-90.11604122,Entire home/apt,334
