OECD,country,country_code,health_expenditure,life_exp,smoker_perc,suicide,alcohol,obese_perc
1,Australia,AUS,4.207,82.4,13,12.2,9.7,21.3
1,Austria,AUT,4.896,81.6,24.3,13.9,12.2,14.3
1,Belgium,BEL,4.522,81.4,18.9,16.7,9.8,13.7
1,Canada,CAN,4.496,81.5,14,10.5,8,19.6
1,Chile,CHE,1.689,79,29.8,10.3,7.9,12.1
1,Czech Republic,CZE,2.386,78.9,22.3,13.3,11.9,17.4
1,Denmark,DNK,4.857,80.8,17,11.3,9.4,14.2
1,Estonia,EST,1.725,77.2,22.1,17.3,11.7,19.5
1,Finland,FIN,3.871,81.3,15.4,14.2,8.8,16
1,France,FRA,4.367,82.8,22.4,14.4,11.5,14.7
1,Germany,DEU,5.119,81.2,20.9,10.7,10.9,15.7
1,Greece,GRC,2.22,81.5,27.3,4.2,7.4,16.9
1,Hungary,HUN,1.797,75.9,25.8,18,10.6,20.6
1,Iceland,ISL,3.897,82.9,13.7,11.8,6.3,22.2
1,Ireland,IRE,5.001,81.4,24,10.8,11,15
1,Israel,ISR,2.547,82.2,17.1,5.5,2.6,17.8
1,Italy,ITA,3.207,83.2,19.7,6.3,6.1,10.3
1,Japan,JPN,4.152,83.7,19.6,18.7,7.1,
1,Korea,KOR,2.361,82.2,20,28.7,9,2.6
1,Latvia,LVA,1.295,74.3,36.4,16.3,10.2,25.7
1,Luxembourg,LUX,4.479,82.3,15.3,12.3,11,
1,Mexico,MEX,1.053,74.8,8.9,5.2,5.5,2.4
1,Netherlands,NLD,5.277,81.8,19.1,10.5,8.4,12.9
1,New Zealand,NZL,3.537,81.6,15.5,12.4,9.1,
1,Norway,NOR,6.081,82.2,13,10.9,6.1,10
1,Poland,POL,1.625,77.7,22.7,14.7,10.5,16.7
1,Portugal,PRT,2.584,81.2,16.8,10,10.3,16.4
1,Slovak Republic,SVK,1.971,76.9,22.9,9.6,10.1,16
1,Slovenia,SVN,2.599,81.2,18.9,18.6,10.9,18.6
1,Spain,ESP,3.053,83.3,23,7.5,9.8,16.4
1,Sweden,SWE,5.065,82.3,11.9,11.4,7.2,12.2
1,Switzerland,CHE,6.787,83.3,20.4,12.2,9.5,10.3
1,Turkey,TUR,0.99,78,23.8,2.6,1.5,19.9
1,United Kingdom,GBR,3.971,81.4,19,7.5,9.4,
1,United States,USA,9.024,78.8,12.9,13.1,8.9,29.5
0,Brazil,BRA,1.02,74.5,,,,
0,China (People's Republic of),CHN,0.731,75.8,,,,
0,Colombia,COL,0.965,74.1,,,,
0,Costa Rica,CRI,1.394,79.5,,,,
0,India,IND,0.267,68,,,,
0,Indonesia,IDN,0.302,68.9,,,,
0,Lithuania,LTU,1.721,74.7,,,,
0,Russia,RUS,1.369,70.9,,,,
0,South Africa,ZAF,1.146,57.2,,,,
